client_identifier,first_name,last_name,country,bitcoin_address,credit_card_type
873,Lennie,McGillivrie,Netherlands,1N75fjtmFdQJmMpacg4oUdt7cWYJXpdKD1,china-unionpay
881,Phaidra,Fenech,Netherlands,16y7pXoKxg3WrBumhLPq3JoTjhCNtCgEMq,solo
894,Marys,Ciccone,Netherlands,1HTBF19dSGssNoC8VWcv3BWbBpi7jYvEZd,switch
910,Gunther,Tremeer,United Kingdom,15Bowgs1P3hPwXvhfLCQEftuDmXG5Rfz71,visa-electron
914,Quintus,Wellesley,Netherlands,16FJCTiriaZCgyfnWCiJnua1Bka3aBjgrt,jcb
924,Justin,Bootland,United Kingdom,1GxYQAdNCqqnxJckfxnMapSaXrD7ktkHFv,diners-club-enroute
928,Cletis,Mulvany,United Kingdom,16J36sqG4rFfabKcwBoxApRuEQUT3T9JPg,china-unionpay
942,Dulcine,Crepin,Netherlands,1JK5tVtebu1Dd2gAXcTaS1UCB5BMGijuqa,jcb
947,Jordon,Munt,United Kingdom,1BJQYwAftZ3UJJpRAERDCcgAkrUZNH6D7g,visa-electron
952,Cale,Gomer,United Kingdom,18xzobimRTpaiVjfBajSGaG7JpZeGjzfug,mastercard
954,Roanna,Izkovitz,Netherlands,1MQGXo6xCKnPkRfTyjUyrQ2b4DtxxgoKyG,jcb
964,Akim,Tart,Netherlands,1HWtSdZgMPTEdzHTAhmnAcFHf3MTasz7zE,diners-club-carte-blanche
966,Lesly,MacAllester,United Kingdom,18Mxz7iRKxcGqUyYprSWBEHPpRc5HPdAKa,bankcard
972,Arnoldo,Bamb,United Kingdom,1HkNSAP8Jm58DBiboFDsv916XJCYsfLrdg,jcb
981,Griffin,Schurcke,Netherlands,19158kwDCddVMpQPUKdLz33yfks1cKbKPE,diners-club-carte-blanche
984,Bordy,Todeo,Netherlands,1LCEj6JuVMjBt6wstfNCofLwWgsgm99NMZ,visa-electron
996,Colly,Bossons,United Kingdom,1DVbpgQBtf9ouzcCZoWmzLLXRXR56HMQva,jcb
